"accuratePass" "lostCorners" "goalsConceded" "saves" "penaltyFaced" "goalKicks" "totalPass" "gameStarted" "totalTackle" "penGoalsConceded" "minsPlayed" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "blockedScoringAtt" "totalScoringAtt" "totalThrows" "totalSubOff" "shotOffTarget" "wonCorners" "cornerTaken" "penaltyConceded" "yellowCard" "ontargetScoringAtt" "fouls" "wonTackle" "wasFouled" "goals" "totalSubOn" "stats[2, ]" "totalOffside" "local" "id_partido" "penaltyWon" "goalAssist" "cleanSheet" "ownGoals" "penaltySave" "secondYellow" "redCard"
"71" NA "2" NA NA NA "81" "1" "3" NA "90" "3" "5" "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "6cj33vcdel471ofwf6ru62eol" "Defender" NA NA NA NA NA NA NA NA NA NA NA "2" NA NA NA NA NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
"44" NA "2" NA NA NA "61" "1" "5" NA "90" NA "2" "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "39a6k4wab8q234zz5fkl4ow6h" "Defender" NA NA "15" NA NA NA NA NA NA NA "1" "4" NA NA NA NA NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
"28" NA "2" NA NA NA "35" "1" "4" NA "90" NA "11" "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "f2la9xekdpt2ni3v22tlslii1" "Midfielder" "1" "4" "1" NA "2" NA NA NA NA "1" "3" "4" "3" NA NA NA NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
"47" NA "2" NA NA NA "63" "1" NA NA "90" "1" "8" "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "23nuijdnnuiwzkd5cf7jbyajt" "Midfielder" NA NA NA NA NA "1" NA NA NA NA NA NA NA NA NA NA NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
"19" NA "1" NA NA NA "28" "1" "1" NA "67" "2" "4" "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "a9upm3npkvgxrp2bvqxlqj00l" "Midfielder" NA "2" NA "1" "2" "1" "2" NA NA NA NA NA NA NA NA NA NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
"17" "1" "2" NA NA NA "35" "1" "3" NA "90" NA "7" "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "e36torutnni07sfjf4eo6ge09" "Midfielder" NA "1" "7" NA "1" NA "1" NA NA NA NA "3" "2" NA NA NA NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
"18" NA "2" NA NA NA "23" "1" "1" NA "90" NA "9" "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "1bw2kkdm9fcqpl2brljc0g8vd" "Striker" NA "1" NA NA "1" NA NA NA NA NA "1" "1" NA NA NA NA NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
"20" NA "2" NA NA NA "23" "1" "3" NA "90" NA "10" "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "cr7u1gwlgbeyg9zo99j3h0qcq" "Striker" "2" "3" NA NA "1" "2" "1" NA NA NA NA "3" "2" NA NA NA NA TRUE "diflsmqqluvvtcae0pp24fecq" NA "1" NA NA NA NA NA
"9" NA "1" NA NA NA "17" NA NA NA "45" NA "0" "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "9tbrhbbmfxq8l363kybl4g7ah" "Substitute" NA "2" NA NA "1" "1" NA NA NA "1" "2" NA NA NA "1" NA NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "4hiw57ra1n6ouboi7axlj9g4p" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "9gbkxl5wtgkopgiwu2qcsh8fd" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "5luxmpmw3guwbd436k7ao2go9" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "djg91s3zqp65v59qflu7cnhl" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "61okani22usgnp1fxaohs5vxl" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "834g52ukee26u85e0ijh193vt" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
"6" NA "1" NA NA NA "8" NA NA NA "23" "1" "0" "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "9xrn6r8qeh6yvw594iuhq03qh" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
"5" NA "1" NA NA NA "7" NA "1" NA "45" NA "0" "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "dzhvgrdkl4nuj8z4fd9to0ag9" "Substitute" NA "3" NA NA "1" NA "1" NA NA "2" NA "1" NA "1" "1" NA NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "627mdzj69i7jud5ui74n1r5d5" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
"8" NA "1" "3" NA "9" "15" "1" NA NA "90" "3" "1" "2018-08-12Z" "2lqlaup274cnqxj4xedyqm9xd" "Korea DPR U20" "ega7n1p2wc0o37rg7fitixvpx" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
"21" NA "1" NA NA NA "36" "1" "2" NA "90" "6" "3" "2018-08-12Z" "2lqlaup274cnqxj4xedyqm9xd" "Korea DPR U20" "75o1qqbgsk71z8zjvyv8mmvvt" "Defender" NA NA "13" NA NA "1" "2" NA NA NA "3" "1" NA NA NA NA NA FALSE "diflsmqqluvvtcae0pp24fecq" NA "1" NA NA NA NA NA
"12" "4" "1" NA NA NA "16" "1" "1" NA "90" "7" "6" "2018-08-12Z" "2lqlaup274cnqxj4xedyqm9xd" "Korea DPR U20" "devw3sgco5xv6df6qp8uui221" "Defender" NA NA NA NA NA NA NA NA NA NA "1" "1" NA NA NA NA NA FALSE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
"8" NA "1" NA NA NA "15" "1" "2" NA "90" "13" "5" "2018-08-12Z" "2lqlaup274cnqxj4xedyqm9xd" "Korea DPR U20" "66nruay7x3bc5pgnid7aa09ka" "Defender" NA NA NA NA NA NA NA NA NA NA NA "1" "1" NA NA NA NA FALSE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
"12" NA "1" NA NA NA "26" "1" "5" NA "90" "6" "2" "2018-08-12Z" "2lqlaup274cnqxj4xedyqm9xd" "Korea DPR U20" "efydya0q91q3l7gcl3yjb2pjp" "Defender" NA NA "24" NA NA NA NA NA NA NA NA "5" "1" NA NA NA NA FALSE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
"18" NA "1" NA NA NA "33" "1" "4" NA "90" NA "11" "2018-08-12Z" "2lqlaup274cnqxj4xedyqm9xd" "Korea DPR U20" "cvolmv5adnei3zoxswqv6y5ii" "Midfielder" NA "2" NA NA NA NA NA NA NA "2" "1" "3" NA "1" NA NA NA FALSE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
"30" NA "1" NA NA NA "45" "1" NA NA "90" "2" "8" "2018-08-12Z" "2lqlaup274cnqxj4xedyqm9xd" "Korea DPR U20" "90h2omqe0pouz9kjbjsk1orje" "Midfielder" NA NA NA NA NA "1" NA NA NA NA "2" NA NA NA NA NA NA FALSE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
