"accuratePass" "goalsConceded" "saves" "goalKicks" "totalPass" "gameStarted" "minsPlayed" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "yellowCard" "totalThrows" "totalTackle" "fouls" "wasFouled" "lostCorners" "totalClearance" "ontargetScoringAtt" "totalScoringAtt" "shotOffTarget" "wonCorners" "blockedScoringAtt" "totalSubOff" "cornerTaken" "goals" "stats[2, ]" "totalSubOn" "local" "id_partido" "ownGoals" "totalOffside" "goalAssist" "penaltyFaced" "penGoalsConceded" "penaltyConceded" "penaltyWon" "redCard" "cleanSheet" "secondYellow" "penaltySave"
"61" "1" NA NA "71" "1" "81" "8" "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "3w14rgqjh2jmrfib07kf17hpm" "Defensive Midfielder" NA NA NA NA "1" NA NA "1" NA "1" "1" "1" NA "1" NA NA NA NA TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA NA NA NA NA NA NA NA
"47" "2" NA NA "57" "1" "90" "11" "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "9crw9og5xe70mc0m1etggpdk9" "Attacking Midfielder" "1" NA "2" "2" NA "2" NA NA "3" "5" NA "3" "2" NA "4" "2" NA NA TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA "1" NA NA NA NA NA NA
"29" "1" NA NA "34" "1" "59" "10" "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "4nqojnfcyud86ocuiic0dlfxl" "Attacking Midfielder" NA "1" "1" NA NA "3" NA NA "1" "5" "3" "1" "1" "1" "4" NA NA NA TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA "1" NA NA NA "1" NA NA NA NA
"16" "1" NA NA "20" "1" "79" "7" "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "f4volqxnck01nospitq47qb8q" "Attacking Midfielder" "1" NA "1" "2" "1" NA NA "1" "1" "2" "1" NA NA "1" NA NA NA NA TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA NA NA NA NA NA NA NA
"33" "2" NA NA "38" "1" "90" "9" "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "9ikkuxd19avliz1khcrm82gyy" "Striker" NA NA NA NA "1" NA NA NA "2" "5" "3" "1" NA NA NA "1" NA NA TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA "1" NA "1" NA NA NA NA NA NA
"14" "1" NA NA "16" NA "9" "0" "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "azkyhgexe8fugq5tzgprig63t" "Substitute" "1" NA NA "1" NA NA NA NA NA "2" "2" NA NA NA NA NA NA "1" TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA "1" NA NA NA NA NA NA
NA NA NA NA NA NA NA NA "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "1ixibe50te4j2gjhbufm72aui" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "ewsjgzi3m2lfyosd7mlp3rw4q" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "3s5k43ngpwa66vj4ypvcdu8a2" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA NA NA NA NA NA NA NA
"8" "1" NA NA "8" NA "31" "0" "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "83kdacraf2mcnbg038ld68ne2" "Substitute" NA NA NA NA NA NA NA NA "1" "3" "2" NA NA NA NA "1" NA "1" TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA "1" NA "1" NA NA NA NA NA NA
