"accuratePass" "penaltyConceded" "goalsConceded" "penaltyFaced" "goalKicks" "totalPass" "gameStarted" "penGoalsConceded" "minsPlayed" "fouls" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "totalThrows" "totalTackle" "wonCorners" "yellowCard" "totalScoringAtt" "shotOffTarget" "wasFouled" "lostCorners" "totalOffside" "totalSubOff" "cornerTaken" "ontargetScoringAtt" "blockedScoringAtt" "stats[2, ]" "totalSubOn" "redCard" "local" "id_partido" "saves" "cleanSheet" "goals" "penaltyWon" "goalAssist" "secondYellow" "penaltySave" "ownGoals"
"20" NA "1" NA NA "29" "1" "1" "75" NA NA "8" "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "9r6nspi1i7fqw5eizms8l2ynd" "Midfielder" NA "1" "1" NA NA NA NA "3" NA NA "1" NA NA NA NA NA NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA "1" NA NA NA NA
"36" NA "1" NA NA "50" "1" "1" "90" "2" NA "11" "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "13xc03mu7msluxkgs1cdjg161" "Midfielder" "1" NA "1" NA "1" NA NA NA "1" NA NA NA NA NA NA NA NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
"26" NA "1" NA NA "33" "1" "1" "90" "1" "3" "7" "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "7h6dcr6i7pot28agxeyx7n7jd" "Midfielder" "3" NA "3" NA NA "1" "1" "2" "1" NA NA NA NA NA NA NA NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
"10" NA "1" NA NA "14" "1" "1" "90" NA "1" "2" "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "ya4be88que5bynpxfv8gkt7t" "Midfielder" "2" "5" "3" NA NA NA NA "1" NA NA NA NA NA NA NA NA NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
"16" NA "1" NA NA "18" "1" "1" "90" "1" NA "9" "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "7vfi4xx7xmrkzdizzoz7v3jl5" "Striker" "1" NA "1" NA "1" "4" "1" "1" NA "1" NA NA "2" "1" NA NA NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA "1" NA NA NA NA NA
"6" NA "1" NA NA "12" "1" "1" "82" "3" "2" "10" "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "dp0k749rh1b33kivaovnpwq21" "Striker" "1" "1" "1" "1" NA "2" "1" "2" "1" "1" "1" NA "1" NA NA NA NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "d4u26caqbiaw8w05u26c6zm5l" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
"5" NA NA NA NA "11" NA NA "36" "1" "4" "0" "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "a6kfmkibpofzq1tcux9redqeh" "Substitute" NA "7" NA NA "1" NA NA NA NA NA NA NA NA NA NA "1" NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "8gwr8wxpsv8rairvq7knocg6h" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
"7" NA NA NA NA "7" NA NA "8" NA NA "0" "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "ep5axp8r6ztfgc11jp05ra6zt" "Substitute" NA NA NA NA NA "1" "1" NA NA NA NA NA NA NA NA "1" NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
