"accuratePass" "goalsConceded" "saves" "goalKicks" "totalPass" "gameStarted" "minsPlayed" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "lostCorners" "totalScoringAtt" "totalThrows" "totalTackle" "shotOffTarget" "fouls" "wasFouled" "ontargetScoringAtt" "goals" "totalSubOff" "wonCorners" "yellowCard" "cornerTaken" "totalSubOn" "stats[2, ]" "local" "id_partido" "blockedScoringAtt" "totalOffside" "goalAssist" "cleanSheet" "ownGoals" "redCard" "penaltyFaced" "penGoalsConceded" "penaltyConceded" "penaltyWon" "penaltySave" "secondYellow"
"33" NA NA NA "37" "1" "90" NA "11" "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "evlxqujazgf6wz7gy97g73aw9" "Midfielder" "4" "1" "2" NA "6" NA "1" "2" "2" "2" NA "2" NA "3" NA NA TRUE "12982n4mfgfxgyd29qdxz5roq" NA NA NA "1" NA NA NA NA NA NA NA NA
"65" NA NA NA "68" "1" "63" NA "10" "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "2bdwdmbf1ty0nwmu6hjysupk9" "Midfielder" "1" NA "1" "1" "1" NA "1" "1" "1" NA "1" "1" NA NA NA NA TRUE "12982n4mfgfxgyd29qdxz5roq" NA NA "1" NA NA NA NA NA NA NA NA NA
"84" NA NA NA "93" "1" "90" "1" "8" "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "5e13xwlorl1gjrnjjtfnzawa1" "Midfielder" "4" "1" "3" "1" "4" "1" NA NA "1" "1" NA NA NA NA NA NA TRUE "12982n4mfgfxgyd29qdxz5roq" "1" NA NA "1" NA NA NA NA NA NA NA NA
"48" NA NA NA "51" "1" "90" NA "7" "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "9c9v6wjh3fufmds8nm5aqfmcp" "Midfielder" NA NA "2" NA "1" "1" "1" NA "1" NA NA NA NA NA NA NA TRUE "12982n4mfgfxgyd29qdxz5roq" NA NA "1" "1" NA NA NA NA NA NA NA NA
"15" NA NA NA "23" "1" "90" NA "9" "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "drtfhsho2kjit9gfq6u9eujmx" "Striker" "2" NA NA NA "2" NA "2" "1" NA NA NA NA NA NA NA NA TRUE "12982n4mfgfxgyd29qdxz5roq" NA NA NA "1" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "9y1n41aljqama1mq47794h621" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "12982n4mfgfxgyd29qdxz5roq" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "4llri4uovs43vn8bi0rbn6b55" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "12982n4mfgfxgyd29qdxz5roq" NA NA NA NA NA NA NA NA NA NA NA NA
"24" NA NA NA "26" NA "45" "2" "0" "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "dr5d292l31grujw2cjjyx4cq2" "Substitute" "4" NA NA "3" "6" NA "1" "1" NA NA NA NA NA NA "1" NA TRUE "12982n4mfgfxgyd29qdxz5roq" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "4xnor5gc2lnpk1siip7yj4lih" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "12982n4mfgfxgyd29qdxz5roq" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "9fpb7g8ij9dqtuqhnimy5fap5" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "12982n4mfgfxgyd29qdxz5roq" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "42g32g8di9nd4fol12sjj4nvt" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "12982n4mfgfxgyd29qdxz5roq" NA NA NA NA NA NA NA NA NA NA NA NA
"16" NA NA NA "22" NA "27" NA "0" "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "cdtqwtqf0k8ej2lwipsu00huy" "Substitute" NA NA "1" NA "1" NA NA "1" "1" NA NA NA NA NA "1" NA TRUE "12982n4mfgfxgyd29qdxz5roq" NA NA NA NA NA NA NA NA NA NA NA NA
